job_title,company_name,location,date,Salary,Experience_Needed,Career_Level,Education_Level,Job_Categories,links,No_of_applicants,Job_Requirements
"Data Analyst","Confidential -","Cairo, Egypt","1 month ago","Confidential","1 To 2 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/ZSeuyA6yAXPf-Data-Analyst-Cairo-Egypt?o=11&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",238,""
"Senior Business Data Analyst","Johnson Controls","New Cairo, Cairo, Egypt","1 month ago","Confidential","4 To 6 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/0nCGgGx0pFd4-Senior-Business-Data-Analyst-Johnson-Controls-Cairo-Egypt?o=12&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",96,"Bachelorâ€™s degree in Economics, Computer Science, Information Management, or Statistics. | Proven working experience as a Business Data Analyst. | Technical expertise regarding data models, database design development, data mining, and segmentation techniques. | Strong experience using Microsoft Power BI. | Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, Javascript, or ETL frameworks). | Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc). | Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy | Adept at queries, report writing, and presenting findings | Excellent level of English both written & verbal."
"Data Analyst","StatsBomb","Nasr City, Cairo, Egypt","1 month ago","Confidential","More Than 3 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research","https://wuzzuf.net/jobs/p/15XN6CqSFgnT-Data-Analyst-StatsBomb-Cairo-Egypt?o=13&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",136,"+3 year experience. | Proven experience working with Microsoft Excel | Proven experience working with SQL | Proven experience working with R or Python | Proven experience working with a data visualization tool (Tableau/Power BI, etc.) | Proficiency in English | Excellent analytical, mathematical, and creative problem-solving skills. | Logical and efficient, with keen attention to detail."
"Financial Analyst - Innoventures","Cultiv","Heliopolis, Cairo, Egypt","12 days ago","Confidential","More Than 1 Year","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","Accounting/Finance | Analyst/Research","https://wuzzuf.net/jobs/p/2HDCHC7zAyh1-Financial-Analyst---Innoventures-Cultiv-Cairo-Egypt?o=14&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",166,"1+ years of work experience in a related investment field (e.g. VC/PE/IB, investment, consulting, etc.). | Remarkable financial and analytical skills and proficiency in spreadsheet modeling. | Willingness to work in a fast-paced, deadline-oriented environment. | Sharp business acumen and deep understanding of venture capital and entrepreneurship ecosystems. | A degree in Finance, Business, or relevant field. | Excellent writing, communication and organization skills. | Excellent interpersonal skills and ability to establish trust. | Highly competent in the use of needed computer skills (Advanced knowledge of Excel). | Strong analytical and data gathering skills. | High proficiency in financial modeling techniques. | Able to easily and fluently communicate in English & Arabic Language [both verbally and written]."
"Data Analyst","Confidential -","Dokki, Giza, Egypt","1 month ago","Confidential","3 To 5 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research","https://wuzzuf.net/jobs/p/1IEyDvBKUNVb-Data-Analyst-Giza-Egypt?o=15&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",63,"Bachelor of Computer Science or equivalent | 3-5 Years of experience in the same field | Advanced working SQL knowledge and experience working with relational databases, start schema, as well as working familiarity with a variety of databases | Experience building and optimizing Big-Data pipelines, architectures and datasets | Strong analytic skills related to working with unstructured datasets | Build processes supporting data transformation, data structures, metadata, dependency and workload management | G-Scripts & Macros Writer | Basic Web Applications developer | Professional Reporter & Presenter | A successful history of manipulating, processing and extracting value from large disconnected datasets | Experience supporting and working with cross-functional teams in a dynamic environment | Strong written and verbal communication skills | Understand of current data protection and privacy laws"
"Sales Analyst","Confidential -","Cairo, Egypt","19 days ago","Confidential","1 To 3 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","Analyst/Research | Sales/Retail","https://wuzzuf.net/jobs/p/iw57sQ4fHYda-Sales-Analyst-Cairo-Egypt?o=17&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",60,"Bachelorâ€™s Degree in Business, Accounting, or Finance | Excellent analytical skills | Excellent leadership skills | Active person"
"Reporting Analyst","Mantrac","10th of Ramadan City, Cairo, Egypt","23 days ago","Confidential","3 To 5 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/nbfcFVWIGSaF-Reporting-Analyst-Mantrac-Cairo-Egypt?o=18&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",70,"Bachelor's degree in Computer Science, Computer Engineering or similar | 3 years of experience in an analysis/reporting role | Familiarity with supply chain processes (e.g. Shipping, ordering, Clearing) is a plus not a must | Understanding about data management processes and analysis methodologies | Communication | Project management | Presentation | Problem-solving | Excellent English language proficiency (B2 - C1) | Detail orientation and analytical Thinking | Numerical reasoning | Business acumen | Structured Query Language (SQL) | Microsoft Excel and PowerPoint | Tableau | Power BI"
"Senior Data Analyst","SIPES","Nozha, Cairo, Egypt","1 month ago","Confidential","3 To 5 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/EDDZ1tn63HS9-Senior-Data-Analyst-SIPES-Cairo-Egypt?o=19&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",100,"Bachelor of Computer Science or equivalent. | 3-5 Years of experience in the same field. | Familiar with Power BI, Tableau, OBI, SQL BI | Excellent abilities to deliver summary reports about analysis findings in a story-telling format. | Highly efficient analytic & problem-solving skills | Preferably have a solid database background"
"Business Analyst","GCSSD","Heliopolis, Cairo, Egypt","23 days ago","Confidential","More Than 5 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/KPpJK7BMUpoD-Business-Analyst-GCSSD-Cairo-Egypt?o=20&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",38,"5+ years of System Analysis / writing system requirements. 2+ years experience in Data Warehouse and ERP projects is preferable. | Excellent teamwork, communication, organization and interpersonal skills; detail oriented. | Ability to handle multiple planned and unplanned project tasks, roles and responsibilities. | Skilled and proficient in requirements definition, process integration, and solutions delivery. | Skilled and proficient in all aspects of Requirements Management and Testing. | Strong knowledge of Systems Development Lifecycles (SDLC), change management and business processes. | Knowledge of information technologies including a high-end (general) technical knowledge of hardware, software, databases and database technology. | Proven ability to handle multiple assignments, tight timelines and manage through project obstacles to consistently deliver results. | Excellent oral and written communication skills."
"Capability Analyst","Confidential -","Azarita, Alexandria, Egypt","25 days ago","Confidential","1 To 3 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","Analyst/Research","https://wuzzuf.net/jobs/p/OwmjdZQo0qhT-Capability-Analyst-Alexandria-Egypt?o=21&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",37,"Bachelorâ€™s degree. | Excellent Excel Skills is a MUST | Employer performance management and competency to use the relevant tools. | 1-3 years of experience. | Maximum Age: 35 years."
